VOTER_ID,SET_NO,OPP_SEX,AGE,HH_ND,HH_NR,HH_NI,MED_AGE,NH_WHITE,NH_AA,NH_ASIAN,NH_MULT,HISP,COMM_LT10,COMM_609P,MED_HH_INC,COMM_CAR,COMM_CP,COMM_PT,COMM_WALK,KIDS,M_MAR,F_MAR,ED_4COL,GENDER_F,GENDER_M,H_AFDLN3P,H_F1,H_M1,H_MFDLN3P,PARTY_D,PARTY_I,PARTY_R,VPP_08,VPP_12,VPR_08,VPR_10,VPR_12,VG_04,VG_06,VG_08,VG_10,VG_12,PP_PELIG,PR_PELIG,AP_PELIG,G_PELIG,E_PELIG,NL5G,NL3PR,NL5AP,NL2PP,REG_DAYS,UPSCALEBUY,UPSCALEMAL,UPSCALEFEM,BOOKBUYERI,FAMILYMAGA,FEMALEORIE,RELIGIOUSM,GARDENINGM,CULINARYIN,HEALTHFITN,DOITYOURSE,FINANCIALM,RELIGIOUSC,POLITICALC,MEDIANEDUC,CAND1S,CAND2S,MESSAGE_A,MESSAGE_A_REV,I3,CAND1_UND,CAND2_UND,MOVED_AD,MOVED_A,opposite,MOVED_A_jittered,Partition,,
193801,2,0,28,1,1,1,37,61,34,0,0,4,26,2,59954,79,21,0,0,7,20,64,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,40,20,2,0,0,0,3997,0,0,1,6,1,1,0,0,1,7,2,1,1,1,11,S,S,1,0,N,N,N,N,0,1,0,V,,0.209086198
627701,1,0,53,2,0,0,46,87,8,0,0,5,10,1,56196,74,22,1,1,16,61,54,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1,1,T,,0.805868531
306924,2,0,68,2,1,0,41,23,64,7,2,3,5,7,58950,76,5,11,3,25,50,54,15,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,33,20,80,50,4,1,1,0,4217,0,0,0,1,1,0,0,0,0,1,0,0,1,1,12,S,L,1,0,N,N,N,Y,1,0,0,T,,0.95018849
547609,1,0,66,0,2,0,35,53,29,4,0,3,27,4,54809,71,2,2,6,30,35,62,39,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,100,50,5,0,0,0,3434,0,0,0,1,0,0,0,0,0,1,0,0,1,1,15,S,S,1,0,N,N,N,N,0,1,0,T,,0.623816003
141105,3,0,23,0,3,1,42,74,18,0,0,8,6,12,75063,92,4,2,0,24,50,50,19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100,50,1,0,0,0,1215,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1,0,T,,0.362378527
334787,1,0,49,2,0,0,32,64,30,4,0,2,4,8,81506,87,6,4,0,20,54,46,33,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,50,67,60,100,80,5,2,3,1,10899,0,0,0,2,1,0,0,0,0,1,0,0,1,1,14,U,S,1,0,N,Y,N,Y,1,0,1,T,,0.229723512
431906,1,0,59,2,0,0,50,82,0,0,1,17,7,2,75577,87,11,0,0,20,63,72,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,L,S,1,0,N,N,N,Y,1,0,1,T,,0.715430442
618337,3,0,37,0,1,1,53,97,2,0,0,1,16,0,94196,90,8,0,0,14,45,42,31,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,100,0,40,100,70,5,0,2,2,4136,0,0,1,2,1,0,0,0,0,1,0,0,1,1,13,S,S,1,0,N,N,N,N,0,1,0,T,,0.29008992
84502,3,0,23,1,2,3,32,67,12,14,2,5,9,5,125154,76,11,3,4,19,43,43,34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,1,2,1,0,0,0,0,1,0,0,1,1,12,L,S,1,0,Y,N,N,Y,1,0,1,V,,0.682175528
316168,3,0,62,1,0,1,37,54,37,1,7,2,21,5,50446,92,1,0,2,20,44,38,15,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,33,20,100,60,5,1,1,0,10879,0,0,0,2,1,0,0,0,0,1,0,0,0,0,12,S,S,1,0,Y,N,N,N,0,1,1,V,,0.812805835
442652,1,0,79,2,0,0,33,42,17,0,1,39,11,2,46125,62,12,17,5,15,34,26,12,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,50,67,60,100,80,5,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,12,L,S,1,0,N,N,N,Y,1,0,1,V,,0.388207498
214677,3,0,42,2,1,1,41,23,64,7,2,3,5,7,58950,76,5,11,3,25,50,54,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7988,0,0,0,1,1,0,0,0,0,1,0,0,1,1,12,S,S,1,0,N,N,N,N,0,1,1,T,,0.934549025
97342,2,0,37,0,0,2,38,76,17,1,1,4,8,18,73618,86,9,2,1,29,71,59,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,40,20,2,0,0,0,3786,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,L,S,1,0,Y,N,N,N,0,1,1,V,,0.806131603
296786,2,0,36,2,0,0,53,97,2,0,0,1,16,0,94196,90,8,0,0,14,45,42,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,40,20,2,0,0,0,5025,0,0,1,2,1,0,0,0,0,1,0,0,1,1,12,L,S,1,0,N,N,N,Y,1,0,1,V,,0.605971931
93508,2,0,57,4,0,1,34,58,27,3,6,6,6,6,51797,92,5,1,1,19,42,36,17,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,50,100,80,100,90,5,3,4,1,5145,0,0,0,1,0,0,0,0,0,1,0,0,1,1,12,U,S,1,0,N,Y,N,Y,1,0,1,V,,0.787250634
204846,2,0,40,2,1,0,32,64,30,4,0,2,4,8,81506,87,6,4,0,20,54,46,33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50,25,1,0,0,0,1644,0,0,0,2,1,0,0,0,0,1,0,0,1,1,12,S,S,1,0,N,N,N,N,0,1,1,V,,0.985845701
562538,2,11,71,2,0,1,38,76,17,1,1,4,8,18,73618,86,9,2,1,29,71,59,13,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,50,100,80,100,90,5,3,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,12,U,S,1,0,N,Y,N,Y,1,0,1,T,,0.62663293
26024,2,0,71,0,2,0,44,58,22,1,2,17,17,8,51544,76,11,5,1,24,48,51,15,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,100,33,60,100,78,4,1,3,2,2821,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1,1,V,,0.826831295
262604,3,0,60,4,0,0,41,23,64,7,2,3,5,7,58950,76,5,11,3,25,50,54,15,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,33,20,100,60,5,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,12,L,S,1,0,N,N,N,Y,1,0,0,T,,0.995879191
190673,1,0,28,2,1,0,62,97,0,0,3,0,16,10,63500,77,3,0,7,8,66,63,43,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,60,30,3,0,0,0,3604,0,0,1,2,1,0,0,0,0,1,0,1,0,0,13,L,S,1,0,N,N,N,Y,1,0,1,T,,0.448856236
553460,1,0,43,1,0,2,32,64,30,4,0,2,4,8,81506,87,6,4,0,20,54,46,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,10,1,0,0,0,8191,0,0,0,2,1,0,0,0,0,1,0,0,1,1,12,S,S,1,0,N,N,N,N,0,1,0,T,,0.738005604
620068,3,20,55,0,4,0,38,85,4,4,8,0,16,5,84333,84,8,4,1,11,52,50,44,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,80,40,4,0,0,0,7876,0,0,1,2,1,0,0,0,0,1,0,1,1,1,15,S,S,1,0,N,N,N,N,0,1,0,V,,0.287936717
422971,3,0,84,0,1,1,37,54,37,1,7,2,21,5,50446,92,1,0,2,20,44,38,15,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,50,100,80,100,90,5,3,4,1,16209,0,0,0,2,1,0,0,0,0,1,0,0,0,0,13,S,S,1,0,N,N,N,N,0,1,0,V,,0.087305766
147235,2,0,34,2,0,0,37,87,5,0,3,6,3,13,87035,92,5,0,0,20,58,74,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,40,20,2,0,0,0,4297,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,L,S,1,0,N,N,N,N,0,1,0,T,,0.662645953
34869,2,0,49,0,1,1,50,82,0,0,1,17,7,2,75577,87,11,0,0,20,63,72,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,60,30,3,0,0,0,7824,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,S,S,1,0,Y,N,N,N,0,1,0,T,,0.044890067
343304,1,0,42,0,2,0,37,54,37,1,7,2,21,5,50446,92,1,0,2,20,44,38,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3354,0,0,0,2,1,0,0,0,0,1,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1,0,V,,0.228440971
598492,2,0,44,0,2,0,33,63,9,1,4,24,35,4,100145,57,36,1,0,11,41,45,13,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,50,67,60,100,80,5,2,3,1,9315,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,S,S,1,0,N,N,N,N,0,1,0,T,,0.01570049
466109,3,0,28,0,0,1,34,63,29,4,0,3,7,15,92170,88,6,3,0,25,58,60,24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0,0,1,2,1,0,0,0,0,1,0,0,1,1,12,U,S,1,0,Y,Y,N,N,0,1,0,V,,0.493693756
527106,1,0,35,2,0,0,45,87,4,4,3,3,11,7,95272,86,6,2,0,20,63,62,31,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,50,0,20,67,38,2,0,1,1,2398,0,0,1,2,1,0,0,0,0,1,0,1,1,1,13,L,S,1,0,N,N,N,Y,1,0,1,V,,0.226507856
282031,3,0,46,1,1,0,39,37,55,2,1,6,35,4,22381,66,12,4,5,14,40,18,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,60,30,3,0,0,0,6579,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1,0,V,,0.401399307
546145,2,0,62,1,1,0,37,61,34,0,0,4,26,2,59954,79,21,0,0,7,20,64,11,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,67,40,100,70,5,2,2,0,7876,0,0,0,1,3,0,0,0,0,0,0,0,0,0,12,U,L,1,0,N,Y,N,N,0,1,1,V,,0.803378006
71421,1,0,32,0,0,1,33,42,17,0,1,39,11,2,46125,62,12,17,5,15,34,26,12,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40,20,2,0,0,0,3760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,U,S,1,0,Y,Y,N,Y,1,0,1,V,,0.686898366
302885,2,0,63,0,1,2,32,64,30,4,0,2,4,8,81506,87,6,4,0,20,54,46,33,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,50,0,20,100,60,5,0,1,1,6656,0,0,0,2,1,0,0,0,0,1,0,0,1,1,13,S,S,1,0,N,N,N,N,0,1,0,V,,0.736598685
156240,1,0,65,2,0,0,44,91,5,0,0,4,31,0,44375,82,6,0,7,18,61,66,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,100,50,2,0,0,0,1505,0,1,1,6,1,0,0,2,2,6,2,0,1,3,12,U,L,1,0,N,Y,N,N,0,1,0,V,,0.03454445
448345,2,0,20,1,0,1,34,63,29,4,0,3,7,15,92170,88,6,3,0,25,58,60,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,100,1,0,0,0,518,0,0,1,2,1,0,0,0,0,1,0,0,1,1,13,S,U,1,0,Y,N,Y,Y,1,0,1,T,,0.305522389
632762,2,0,24,0,0,4,25,62,26,7,2,2,9,12,58145,78,18,2,0,31,48,51,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,100,60,3,0,0,0,1975,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,L,S,1,0,Y,N,N,Y,1,0,0,V,,0.853039173
332373,3,0,72,1,1,0,45,87,9,2,1,1,24,2,59931,75,10,1,0,21,67,63,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,11,1,0,0,0,2839,0,0,1,7,0,0,0,2,1,4,2,0,0,0,12,U,S,1,0,N,Y,N,Y,1,0,1,T,,0.663785332
353482,1,0,33,2,0,0,38,76,17,1,1,4,8,18,73618,86,9,2,1,29,71,59,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,67,25,2,0,0,0,2265,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,U,S,1,0,N,Y,N,Y,1,0,1,V,,0.697545491
208013,3,0,54,2,0,0,44,91,5,0,0,4,31,0,44375,82,6,0,7,18,61,66,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50,25,1,0,0,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,L,S,1,0,N,N,N,Y,1,0,1,T,,0.563301923
224848,1,0,56,3,0,0,32,67,12,14,2,5,9,5,125154,76,11,3,4,19,43,43,34,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,50,33,40,100,70,5,1,2,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,1,15,U,L,1,0,N,Y,N,Y,1,0,0,V,,0.803105528
175272,2,0,29,0,2,0,38,85,4,4,8,0,16,5,84333,84,8,4,1,11,52,50,44,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,0,0,1,2,1,0,0,0,0,1,0,1,1,1,14,S,S,1,0,N,N,N,N,0,1,0,T,,0.144398626
144381,3,0,33,1,0,1,46,87,8,0,0,5,10,1,56196,74,22,1,1,16,61,54,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,L,S,1,0,Y,N,N,N,0,1,0,T,,0.175349196
298207,2,0,60,2,0,0,39,37,55,2,1,6,35,4,22381,66,12,4,5,14,40,18,10,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,50,0,20,60,40,3,0,1,1,7809,0,1,0,2,0,0,0,4,0,0,2,0,0,0,12,U,S,1,0,N,Y,N,Y,1,0,1,T,,0.529919162
118810,3,0,55,0,2,2,37,61,34,0,0,4,26,2,59954,79,21,0,0,7,20,64,11,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,50,67,60,80,70,4,2,3,1,12999,0,0,1,4,1,0,0,0,0,1,0,1,1,1,12,S,S,1,0,N,N,N,N,0,1,1,T,,0.977826991
256851,1,0,64,2,0,0,39,74,23,0,0,2,10,5,41477,85,6,1,3,17,58,43,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,60,30,3,0,0,0,7815,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,L,S,1,0,N,N,N,Y,1,0,1,T,,0.286305033
512935,2,0,64,0,3,1,38,83,12,1,1,3,2,13,99327,84,10,1,0,27,71,70,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,80,40,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1,1,T,,0.93280886
20121,1,0,89,2,0,0,39,37,55,2,1,6,35,4,22381,66,12,4,5,14,40,18,10,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,50,0,20,80,50,4,0,1,1,7826,0,0,0,3,0,0,0,0,1,1,1,0,0,0,12,U,S,1,0,N,Y,N,Y,1,0,1,T,,0.296221592
583861,2,0,55,0,1,1,32,67,12,14,2,5,9,5,125154,76,11,3,4,19,43,43,34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,10,1,0,0,0,6965,0,0,1,2,1,0,0,0,0,1,0,0,1,1,14,S,S,1,0,N,N,N,N,0,1,1,V,,0.890551657
256503,2,0,83,0,2,0,50,88,5,4,2,0,18,10,90972,87,4,2,1,17,59,49,40,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,67,40,100,70,5,2,2,0,13698,0,0,0,2,1,0,0,0,0,1,0,0,1,1,16,S,S,1,0,N,N,N,N,0,1,0,T,,0.644848807
47423,1,0,48,0,1,1,45,87,9,2,1,1,24,2,59931,75,10,1,0,21,67,63,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,10,1,0,0,0,9377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,S,S,1,0,N,N,N,N,0,1,1,T,,0.875895653
449265,1,0,81,4,0,0,41,23,64,7,2,3,5,7,58950,76,5,11,3,25,50,54,15,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,50,33,40,100,70,5,1,2,1,15159,0,0,0,1,1,0,0,0,0,1,0,0,1,1,12,U,S,1,0,N,Y,N,Y,1,0,1,T,,0.391105205
286707,3,0,69,3,0,0,53,97,2,0,0,1,16,0,94196,90,8,0,0,14,45,42,31,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,50,67,60,100,80,5,2,3,1,6557,0,0,1,2,1,0,0,0,0,1,0,0,1,1,13,L,S,1,0,N,N,N,Y,1,0,1,V,,0.166183386
483739,1,0,43,0,1,0,37,61,34,0,0,4,26,2,59954,79,21,0,0,7,20,64,11,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,100,50,1,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,S,S,1,0,N,N,N,N,0,1,0,V,,0.65383823
307289,3,0,68,3,0,0,41,23,64,7,2,3,5,7,58950,76,5,11,3,25,50,54,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,0,0,0,1,1,0,0,0,0,1,0,0,1,1,12,S,S,1,0,N,N,N,N,0,1,0,T,,0.377156832
