Month,Ridership
Jan-91,1709.00
Feb-91,1621.00
Mar-91,1973.00
Apr-91,1812.00
May-91,1975.00
Jun-91,1862.00
Jul-91,1940.00
Aug-91,2013.00
Sep-91,1596.00
Oct-91,1725.00
Nov-91,1676.00
Dec-91,1814.00
Jan-92,1615.00
Feb-92,1557.00
Mar-92,1891.00
Apr-92,1956.00
May-92,1885.00
Jun-92,1623.00
Jul-92,1903.00
Aug-92,1997.00
Sep-92,1704.00
Oct-92,1810.00
Nov-92,1862.00
Dec-92,1875.00
Jan-93,1705.00
Feb-93,1619.00
Mar-93,1837.00
Apr-93,1957.00
May-93,1917.00
Jun-93,1882.00
Jul-93,1933.00
Aug-93,1996.00
Sep-93,1673.00
Oct-93,1753.00
Nov-93,1720.00
Dec-93,1734.00
Jan-94,1563.00
Feb-94,1574.00
Mar-94,1903.00
Apr-94,1834.00
May-94,1831.00
Jun-94,1776.00
Jul-94,1868.00
Aug-94,1907.00
Sep-94,1686.00
Oct-94,1779.00
Nov-94,1776.00
Dec-94,1783.00
Jan-95,1548.00
Feb-95,1497.00
Mar-95,1798.00
Apr-95,1733.00
May-95,1772.00
Jun-95,1761.00
Jul-95,1792.00
Aug-95,1875.00
Sep-95,1571.00
Oct-95,1647.00
Nov-95,1673.00
Dec-95,1657.00
Jan-96,1382.00
Feb-96,1361.00
Mar-96,1559.00
Apr-96,1608.00
May-96,1697.00
Jun-96,1693.00
Jul-96,1836.00
Aug-96,1943.00
Sep-96,1551.00
Oct-96,1687.00
Nov-96,1576.00
Dec-96,1700.00
Jan-97,1397.00
Feb-97,1372.00
Mar-97,1708.00
Apr-97,1655.00
May-97,1763.00
Jun-97,1776.00
Jul-97,1934.00
Aug-97,2008.00
Sep-97,1616.00
Oct-97,1774.00
Nov-97,1732.00
Dec-97,1797.00
Jan-98,1570.00
Feb-98,1413.00
Mar-98,1755.00
Apr-98,1825.00
May-98,1843.00
Jun-98,1826.00
Jul-98,1968.00
Aug-98,1922.00
Sep-98,1670.00
Oct-98,1791.00
Nov-98,1817.00
Dec-98,1847.00
Jan-99,1599.00
Feb-99,1549.00
Mar-99,1832.00
Apr-99,1840.00
May-99,1846.00
Jun-99,1865.00
Jul-99,1966.00
Aug-99,1949.00
Sep-99,1607.00
Oct-99,1804.00
Nov-99,1850.00
Dec-99,1836.00
Jan-00,1542.00
Feb-00,1617.00
Mar-00,1920.00
Apr-00,1971.00
May-00,1992.00
Jun-00,2010.00
Jul-00,2054.00
Aug-00,2097.00
Sep-00,1824.00
Oct-00,1977.00
Nov-00,1981.00
Dec-00,2000.00
1-Jan,1683.00
1-Feb,1663.00
1-Mar,2008.00
1-Apr,2024.00
1-May,2047.00
1-Jun,2073.00
1-Jul,2127.00
1-Aug,2203.00
1-Sep,1708.00
1-Oct,1951.00
1-Nov,1974.00
1-Dec,1985.00
2-Jan,1760.00
2-Feb,1771.00
2-Mar,2020.00
2-Apr,2048.00
2-May,2069.00
2-Jun,1994.00
2-Jul,2075.00
2-Aug,2027.00
2-Sep,1734.00
2-Oct,1917.00
2-Nov,1858.00
2-Dec,1996.00
3-Jan,1778.00
3-Feb,1749.00
3-Mar,2066.00
3-Apr,2099.00
3-May,2105.00
3-Jun,2130.00
3-Jul,2223.00
3-Aug,2174.00
3-Sep,1931.00
3-Oct,2121.00
3-Nov,2076.00
3-Dec,2141.00
4-Jan,1832.00
4-Feb,1838.00
4-Mar,2132.00
